 WARN  Checking for updates failed (use `--debug` to see full error)
 INFO  Accepting connections at http://localhost:5001
 INFO  Accepting connections at http://0.0.0.0:3000
 HTTP  2/25/2026 10:09:55 PM ::1 GET /
 HTTP  2/25/2026 10:09:55 PM ::1 Returned 304 in 211 ms
 HTTP  2/25/2026 10:09:56 PM ::1 GET /style.css
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:09:56 PM ::1 GET /photo_2025-12-19_22-22-19.jpg
 HTTP  2/25/2026 10:09:56 PM ::1 GET /photo_2025-12-19_22-22-15.jpg
 HTTP  2/25/2026 10:09:56 PM ::1 GET /photo_2025-12-19_22-22-17.jpg
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 10 ms
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 12 ms
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 10 ms
 HTTP  2/25/2026 10:09:56 PM ::1 GET /photo_2025-12-19_22-22-08.jpg
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:09:56 PM ::1 GET /photo_2025-12-19_22-23-03.jpg
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 15 ms
 HTTP  2/25/2026 10:09:56 PM ::1 GET /photo_2025-12-19_22-22-14.jpg
 HTTP  2/25/2026 10:09:56 PM ::1 Returned 304 in 21 ms
 HTTP  2/25/2026 10:09:57 PM ::1 GET /script.js
 HTTP  2/25/2026 10:09:57 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:09:57 PM ::1 GET /photo_2025-12-19_22-22-04.jpg
 HTTP  2/25/2026 10:09:57 PM ::1 GET /photo_2025-12-19_22-22-10.jpg
 HTTP  2/25/2026 10:09:57 PM ::1 Returned 304 in 12 ms
 HTTP  2/25/2026 10:09:57 PM ::1 Returned 304 in 8 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /style.css
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /photo_2025-12-19_22-22-19.jpg
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /photo_2025-12-19_22-22-15.jpg
 HTTP  2/25/2026 10:10:59 PM ::1 GET /photo_2025-12-19_22-22-17.jpg
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /photo_2025-12-19_22-23-03.jpg
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /photo_2025-12-19_22-22-08.jpg
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:10:59 PM ::1 GET /photo_2025-12-19_22-22-14.jpg
 HTTP  2/25/2026 10:10:59 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:11:00 PM ::1 GET /script.js
 HTTP  2/25/2026 10:11:00 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:11:00 PM ::1 GET /photo_2025-12-19_22-22-04.jpg
 HTTP  2/25/2026 10:11:00 PM ::1 Returned 304 in 4 ms
